Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-6125,ROCHE la CROIX (RLC),WW1,44.46898,6.80037,JN34JL
FBOTA,227,B/F-6126,ANCIEN CAMP 2,WW1,44.46885,6.79303,JN34JL
FBOTA,227,B/F-6127,ANCIEN CAMP,WW1,44.46874,6.79154,JN34JL
FBOTA,227,B/F-6128,ANCIEN CAMP 4,WW1,44.46870,6.79413,JN34JL
FBOTA,227,B/F-6129,ANCIEN CAMP 3,WW1,44.46853,6.79408,JN34JL
FBOTA,227,B/F-6130,PA 2018,WW1,44.46310,6.85327,JN34KL
FBOTA,227,B/F-6131,PA 1893,WW1,44.45846,6.85043,JN34KL
FBOTA,227,B/F-6132,COLOMBIER - ROCHER le TRUC,WW1,44.45652,6.84227,JN34KK
FBOTA,227,B/F-6133,LARCHE (L),WW1,44.45519,6.84080,JN34KK
FBOTA,227,B/F-6134,LARCHE,WW1,44.45463,6.84099,JN34KK
FBOTA,227,B/F-6135,PONT des VACHES,WW1,44.45184,6.83827,JN34KK
FBOTA,227,B/F-6136,PA de l'UBAYETTE,WW1,44.44884,6.84592,JN34KK
FBOTA,227,B/F-6137,PA des SAGNES 2,WW1,44.38909,6.83116,JN34JJ
FBOTA,227,B/F-6138,PA des SAGNES 1,WW1,44.38897,6.83080,JN34JJ
FBOTA,227,B/F-6139,RESTEFOND,WW1,44.34242,6.79404,JN34JI
FBOTA,227,B/F-6140,COL de RASPAILLON,WW1,44.34139,6.83428,JN34KI
FBOTA,227,B/F-6141,VENTABREN,WW1,44.33958,6.86882,JN34KI
FBOTA,227,B/F-6142,GRANGES COMMUNES,WW1,44.33927,6.83019,JN34JI
FBOTA,227,B/F-6143,COL de RESTEFOND (RD),WW1,44.33534,6.80982,JN34JI
FBOTA,227,B/F-6144,Les FOURCHES (FO) - (Avant Poste),WW1,44.33447,6.87132,JN34KI
FBOTA,227,B/F-6145,Les FOURCHES,WW1,44.33333,6.87137,JN34KH
FBOTA,227,B/F-6146,RESTEFOND,WW1,44.33032,6.80928,JN34JH
FBOTA,227,B/F-6147,CRETE de GAUDIN,WW1,44.32859,6.87182,JN34KH
FBOTA,227,B/F-6148,CRETE de GAUDIN,WW1,44.32825,6.87108,JN34KH
FBOTA,227,B/F-6149,Les FOURCHES,WW1,44.32769,6.87045,JN34KH
FBOTA,227,B/F-6150,Le PRA,WW1,44.32547,6.88225,JN34KH
FBOTA,227,B/F-6151,BERGERIE de RESTEFOND,WW1,44.32379,6.79229,JN34JH
FBOTA,227,B/F-6152,Le PRA (LP)  - (Avant Poste),WW1,44.32306,6.88192,JN34KH
